target_id,start,end,role,reason
PASSION24.HOUR.18.P028,117,119,OUTER_DIVINE_OPEN_WRAPPER_HIDE,OUTER_DIVINE_DIRECT_ATTRIBUTION
PASSION24.HOUR.18.P031,154,156,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,OUTER_DIVINE_DIRECT_ATTRIBUTION
PASSION24.HOUR.18.P101,0,2,OUTER_DIVINE_OPEN_WRAPPER_HIDE,OUTER_DIVINE_TARGET_START
PASSION24.HOUR.18.P101,80,82,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,OUTER_DIVINE_TARGET_START
PASSION24.HOUR.18.P111,187,189,OUTER_DIVINE_OPEN_WRAPPER_HIDE,OUTER_DIVINE_DIRECT_ATTRIBUTION
PASSION24.HOUR.18.P113,146,148,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,OUTER_DIVINE_DIRECT_ATTRIBUTION
PASSION24.HOUR.19.P015,0,2,OUTER_DIVINE_OPEN_WRAPPER_HIDE,OUTER_DIVINE_TARGET_START
PASSION24.HOUR.19.P018,93,95,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,OUTER_DIVINE_TARGET_START
PASSION24.HOUR.19.P026,0,2,OUTER_DIVINE_OPEN_WRAPPER_HIDE,OUTER_DIVINE_TARGET_START
PASSION24.HOUR.19.P027,121,123,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,OUTER_DIVINE_TARGET_START
PASSION24.HOUR.19.P079,0,2,OUTER_DIVINE_OPEN_WRAPPER_HIDE,OUTER_DIVINE_TARGET_START
PASSION24.HOUR.19.P081,172,174,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,OUTER_DIVINE_TARGET_START
PASSION24.HOUR.19.P108,0,2,OUTER_DIVINE_OPEN_WRAPPER_HIDE,OUTER_DIVINE_TARGET_START
PASSION24.HOUR.19.P112,218,220,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,OUTER_DIVINE_TARGET_START
PASSION24.HOUR.19.P121,358,360,OUTER_DIVINE_OPEN_WRAPPER_HIDE,OUTER_DIVINE_DIRECT_ATTRIBUTION
PASSION24.HOUR.19.P121,414,416,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,OUTER_DIVINE_DIRECT_ATTRIBUTION
PASSION24.HOUR.19.P124,0,2,OUTER_DIVINE_OPEN_WRAPPER_HIDE,OUTER_DIVINE_TARGET_START
PASSION24.HOUR.19.P126,143,145,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,OUTER_DIVINE_TARGET_START
PASSION24.HOUR.19.P133,0,2,OUTER_DIVINE_OPEN_WRAPPER_HIDE,OUTER_DIVINE_TARGET_START
PASSION24.HOUR.19.P137,117,119,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,OUTER_DIVINE_TARGET_START
PASSION24.HOUR.19.P146,0,2,OUTER_DIVINE_OPEN_WRAPPER_HIDE,OUTER_DIVINE_TARGET_START
PASSION24.HOUR.19.P149,167,169,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,OUTER_DIVINE_TARGET_START
PASSION24.HOUR.19.P164,0,2,OUTER_DIVINE_OPEN_WRAPPER_HIDE,OUTER_DIVINE_TARGET_START
PASSION24.HOUR.19.P165,148,150,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,OUTER_DIVINE_TARGET_START
PASSION24.HOUR.19.P166,35,37,OUTER_DIVINE_OPEN_WRAPPER_HIDE,OUTER_DIVINE_DIRECT_ATTRIBUTION
PASSION24.HOUR.19.P168,98,100,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,OUTER_DIVINE_DIRECT_ATTRIBUTION
PASSION24.HOUR.20.P010,0,2,OUTER_DIVINE_OPEN_WRAPPER_HIDE,OUTER_DIVINE_TARGET_START
PASSION24.HOUR.20.P010,61,63,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,OUTER_DIVINE_TARGET_START
