target_id,run_index,start,end,presentation_speaker,adjudicated
PASSION24.SECTION.BENEFITS.P010,1,0,298,JESUS,NO
PASSION24.SECTION.BENEFITS.P012,1,0,111,JESUS,NO
PASSION24.SECTION.BENEFITS.P013,1,0,19,JESUS,NO
PASSION24.SECTION.BENEFITS.P014,1,0,4,JESUS,NO
PASSION24.SECTION.BENEFITS.P015,1,0,95,JESUS,NO
PASSION24.SECTION.BENEFITS.P017,1,84,261,JESUS,NO
PASSION24.SECTION.BENEFITS.P018,1,0,112,JESUS,NO
PASSION24.SECTION.BENEFITS.P021,1,12,301,JESUS,NO
PASSION24.SECTION.BENEFITS.P022,1,0,6,JESUS,NO
PASSION24.SECTION.BENEFITS.P023,1,0,3,JESUS,NO
PASSION24.SECTION.BENEFITS.P024,1,0,29,JESUS,NO
PASSION24.SECTION.BENEFITS.P025,1,0,200,JESUS,NO
PASSION24.SECTION.BENEFITS.P026,1,0,53,JESUS,NO
PASSION24.SECTION.BENEFITS.P030,1,0,71,JESUS,NO
PASSION24.SECTION.BENEFITS.P031,1,0,119,JESUS,NO
PASSION24.SECTION.BENEFITS.P032,1,0,147,JESUS,NO
PASSION24.SECTION.BENEFITS.P033,1,0,172,JESUS,NO
PASSION24.SECTION.BENEFITS.P034,1,0,211,JESUS,NO
PASSION24.SECTION.BENEFITS.P037,1,13,120,JESUS,NO
PASSION24.SECTION.BENEFITS.P038,1,0,126,JESUS,NO
PASSION24.SECTION.BENEFITS.P039,1,0,147,JESUS,NO
PASSION24.SECTION.BENEFITS.P040,1,0,152,JESUS,NO
PASSION24.SECTION.BENEFITS.P041,1,0,122,JESUS,NO
PASSION24.SECTION.BENEFITS.P042,1,0,281,JESUS,NO
PASSION24.SECTION.BENEFITS.P044,1,0,119,JESUS,NO
PASSION24.SECTION.BENEFITS.P045,1,0,147,JESUS,NO
PASSION24.SECTION.BENEFITS.P046,1,0,263,JESUS,NO
PASSION24.SECTION.BENEFITS.P047,1,0,120,JESUS,NO
PASSION24.SECTION.BENEFITS.P049,1,0,4,JESUS,NO
PASSION24.SECTION.BENEFITS.P050,1,0,103,JESUS,NO
PASSION24.SECTION.BENEFITS.P051,1,0,107,JESUS,NO
PASSION24.SECTION.BENEFITS.P055,1,231,308,JESUS,NO
PASSION24.SECTION.BENEFITS.P057,1,36,391,JESUS,NO
PASSION24.SECTION.BENEFITS.P059,1,0,20,JESUS,NO
PASSION24.SECTION.BENEFITS.P060,1,0,170,JESUS,NO
PASSION24.SECTION.BENEFITS.P061,1,0,176,JESUS,NO
PASSION24.SECTION.BENEFITS.P062,1,0,79,JESUS,NO
PASSION24.SECTION.BENEFITS.P078,1,1,139,JESUS,NO
PASSION24.SECTION.BENEFITS.P079,1,0,152,JESUS,NO
PASSION24.SECTION.BENEFITS.P080,1,0,120,JESUS,NO
PASSION24.SECTION.BENEFITS.P081,1,0,103,JESUS,NO
PASSION24.SECTION.BENEFITS.P082,1,0,361,JESUS,NO
PASSION24.SECTION.BENEFITS.P084,1,0,97,JESUS,NO
PASSION24.SECTION.BENEFITS.P085,1,0,96,JESUS,NO
PASSION24.SECTION.BENEFITS.P086,1,0,202,JESUS,NO
PASSION24.SECTION.BENEFITS.P090,1,0,223,JESUS,NO
PASSION24.SECTION.BENEFITS.P091,1,0,91,JESUS,NO
PASSION24.SECTION.BENEFITS.P092,1,0,234,JESUS,NO
PASSION24.SECTION.BENEFITS.P093,1,0,91,JESUS,NO
PASSION24.SECTION.BENEFITS.P095,1,65,166,JESUS,NO
PASSION24.SECTION.BENEFITS.P096,1,0,132,JESUS,NO
PASSION24.SECTION.BENEFITS.P097,1,0,30,JESUS,NO
PASSION24.SECTION.BENEFITS.P098,1,0,34,JESUS,NO
PASSION24.SECTION.BENEFITS.P099,1,0,444,JESUS,NO
PASSION24.SECTION.BENEFITS.P101,1,0,77,JESUS,NO
PASSION24.SECTION.BENEFITS.P102,1,0,194,JESUS,NO
PASSION24.SECTION.BENEFITS.P102,2,209,411,JESUS,NO
PASSION24.SECTION.BENEFITS.P103,1,0,61,JESUS,NO
PASSION24.SECTION.BENEFITS.P106,1,41,118,JESUS,NO
PASSION24.SECTION.BENEFITS.P108,1,13,368,JESUS,NO
PASSION24.SECTION.BENEFITS.P110,1,13,244,JESUS,NO
PASSION24.SECTION.BENEFITS.P111,1,0,150,JESUS,NO
PASSION24.SECTION.BENEFITS.P112,1,0,133,JESUS,NO
PASSION24.SECTION.BENEFITS.P113,1,0,423,JESUS,NO
PASSION24.SECTION.BENEFITS.P114,1,0,74,JESUS,NO
PASSION24.SECTION.BENEFITS.P115,1,0,181,JESUS,NO
PASSION24.SECTION.BENEFITS.P116,1,0,216,JESUS,NO
PASSION24.SECTION.BENEFITS.P119,1,0,115,JESUS,NO
PASSION24.SECTION.BENEFITS.P120,1,0,150,JESUS,NO
PASSION24.SECTION.BENEFITS.P122,1,60,77,JESUS,NO
PASSION24.SECTION.BENEFITS.P126,1,0,152,JESUS,NO
PASSION24.SECTION.BENEFITS.P127,1,0,190,JESUS,NO
PASSION24.SECTION.BENEFITS.P128,1,0,231,JESUS,NO
PASSION24.SECTION.BENEFITS.P129,1,0,140,JESUS,NO
PASSION24.SECTION.BENEFITS.P130,1,0,76,JESUS,NO
PASSION24.SECTION.BENEFITS.P131,1,0,133,JESUS,NO
PASSION24.SECTION.BENEFITS.P134,1,0,308,JESUS,NO
PASSION24.SECTION.BENEFITS.P135,1,0,198,JESUS,NO
PASSION24.SECTION.BENEFITS.P136,1,0,156,JESUS,NO
PASSION24.SECTION.BENEFITS.P137,1,0,205,JESUS,NO
PASSION24.SECTION.BENEFITS.P138,1,0,104,JESUS,NO
PASSION24.SECTION.BENEFITS.P139,1,0,76,JESUS,NO
PASSION24.SECTION.BENEFITS.P144,1,0,262,JESUS,NO
PASSION24.SECTION.BENEFITS.P145,1,0,126,JESUS,NO
PASSION24.SECTION.BENEFITS.P146,1,0,127,JESUS,NO
PASSION24.SECTION.BENEFITS.P148,1,0,111,JESUS,NO
PASSION24.SECTION.BENEFITS.P149,1,0,139,JESUS,NO
PASSION24.SECTION.BENEFITS.P153,1,64,317,JESUS,NO
PASSION24.SECTION.BENEFITS.P154,1,0,137,JESUS,NO
PASSION24.SECTION.BENEFITS.P155,1,0,193,JESUS,NO
PASSION24.SECTION.BENEFITS.P156,1,0,311,JESUS,NO
PASSION24.SECTION.BENEFITS.P157,1,0,110,JESUS,NO
PASSION24.SECTION.BENEFITS.P158,1,0,209,JESUS,NO
PASSION24.SECTION.BENEFITS.P159,1,0,187,JESUS,NO
PASSION24.SECTION.BENEFITS.P163,1,0,330,JESUS,NO
PASSION24.SECTION.BENEFITS.P169,1,13,232,JESUS,NO
PASSION24.SECTION.BENEFITS.P170,1,0,121,JESUS,NO
PASSION24.SECTION.BENEFITS.P171,1,0,129,JESUS,NO
PASSION24.SECTION.BENEFITS.P173,1,0,100,JESUS,NO
PASSION24.SECTION.BENEFITS.P175,1,108,350,JESUS,NO
PASSION24.SECTION.BENEFITS.P176,1,0,251,JESUS,NO
PASSION24.SECTION.BENEFITS.P179,1,0,144,JESUS,NO
PASSION24.SECTION.BENEFITS.P180,1,0,32,JESUS,NO
PASSION24.SECTION.BENEFITS.P181,1,0,290,JESUS,NO
PASSION24.SECTION.BENEFITS.P182,1,0,94,JESUS,NO
PASSION24.SECTION.BENEFITS.P184,1,0,213,JESUS,NO
PASSION24.SECTION.BENEFITS.P185,1,0,117,JESUS,NO
PASSION24.SECTION.BENEFITS.P186,1,0,32,JESUS,NO
PASSION24.SECTION.BENEFITS.P187,1,0,54,JESUS,NO
PASSION24.SECTION.BENEFITS.P188,1,0,172,JESUS,NO
PASSION24.TEXT.PART_III_DIVINE_PASSION.BODY.P019,1,0,214,JESUS,NO
PASSION24.TEXT.PART_III_DIVINE_PASSION.BODY.P020,1,0,191,JESUS,NO
PASSION24.TEXT.PART_III_DIVINE_PASSION.BODY.P021,1,0,115,JESUS,NO
PASSION24.TEXT.PART_III_DIVINE_PASSION.BODY.P022,1,0,250,JESUS,NO
PASSION24.TEXT.PART_III_DIVINE_PASSION.BODY.P023,1,0,270,JESUS,NO
PASSION24.TEXT.PART_III_DIVINE_PASSION.BODY.P024,1,0,82,JESUS,NO
PASSION24.TEXT.PART_III_DIVINE_PASSION.BODY.P025,1,0,294,JESUS,NO
PASSION24.TEXT.PART_III_DIVINE_PASSION.BODY.P026,1,0,256,JESUS,NO
PASSION24.TEXT.PART_III_DIVINE_PASSION.BODY.P027,1,0,263,JESUS,NO
PASSION24.TEXT.PART_III_DIVINE_PASSION.BODY.P028,1,0,203,JESUS,NO
PASSION24.TEXT.PART_III_DIVINE_PASSION.BODY.P038,1,0,154,JESUS,NO
PASSION24.TEXT.PART_III_DIVINE_PASSION.BODY.P039,1,0,157,JESUS,NO
PASSION24.TEXT.PART_III_DIVINE_PASSION.BODY.P040,1,0,108,JESUS,NO
PASSION24.TEXT.PART_III_DIVINE_PASSION.BODY.P041,1,0,130,JESUS,NO
PASSION24.TEXT.PART_III_DIVINE_PASSION.BODY.P042,1,0,168,JESUS,NO
PASSION24.TEXT.PART_III_DIVINE_PASSION.BODY.P043,1,0,182,JESUS,NO
PASSION24.TEXT.PART_III_DIVINE_PASSION.BODY.P046,1,13,188,JESUS,NO
PASSION24.TEXT.PART_III_DIVINE_PASSION.BODY.P047,1,0,153,JESUS,NO
PASSION24.TEXT.PART_III_DIVINE_PASSION.BODY.P048,1,0,107,JESUS,NO
PASSION24.TEXT.PART_III_DIVINE_PASSION.BODY.P049,1,0,36,JESUS,NO
PASSION24.TEXT.PART_III_DIVINE_PASSION.BODY.P050,1,0,169,JESUS,NO
PASSION24.TEXT.PART_III_DIVINE_PASSION.BODY.P051,1,0,115,JESUS,NO
PASSION24.TEXT.PART_III_DIVINE_PASSION.BODY.P052,1,0,191,JESUS,NO
PASSION24.TEXT.PART_III_DIVINE_PASSION.BODY.P053,1,0,190,JESUS,NO
PASSION24.TEXT.PART_III_DIVINE_PASSION.BODY.P054,1,0,106,JESUS,NO
PASSION24.TEXT.PART_III_DIVINE_PASSION.BODY.P055,1,0,137,JESUS,NO
PASSION24.TEXT.PART_III_DIVINE_PASSION.BODY.P056,1,0,155,JESUS,NO
PASSION24.TEXT.PART_III_DIVINE_PASSION.BODY.P057,1,0,70,JESUS,NO
PASSION24.TEXT.PART_III_DIVINE_PASSION.BODY.P058,1,0,97,JESUS,NO
PASSION24.TEXT.PART_III_DIVINE_PASSION.BODY.P059,1,0,171,JESUS,NO
PASSION24.TEXT.PART_III_DIVINE_PASSION.BODY.P067,1,0,215,JESUS,NO
PASSION24.TEXT.PART_III_DIVINE_PASSION.BODY.P068,1,0,200,JESUS,NO
PASSION24.TEXT.PART_III_DIVINE_PASSION.BODY.P079,1,25,162,JESUS,NO
PASSION24.TEXT.PART_III_DIVINE_PASSION.BODY.P080,1,0,145,JESUS,NO
PASSION24.TEXT.PART_III_DIVINE_PASSION.BODY.P081,1,0,88,JESUS,NO
PASSION24.TEXT.PART_III_DIVINE_PASSION.BODY.P082,1,0,101,JESUS,NO
